,Year,Month,Export Quantity (kg),Export Price (LKR/kg),Exchange Rate (LKR/USD),Export Price (USD/kg),Global_Tea_Price ($),Log_Return
2010-10-01,2010,October,29550000.0,498.45,111.6878571428571,4.462884441971567,3.03472973501,-0.003146420676471699
2010-11-01,2010,November,26400000.0,507.5,111.5175,4.550855246934337,3.0270648023,0.01951988880207009
2010-12-01,2010,December,24950000.0,521.85,111.0819565217391,4.697882683565013,3.04230296836,0.03179673269652086
2011-01-01,2011,January,27160000.0,525.0,110.8392857142857,4.736587723537942,3.02085137563,0.008205072558008274
2011-02-01,2011,February,25220000.0,522.15,110.839,4.710886962170354,2.88210796575,-0.005440781927928563
2011-03-01,2011,March,26900000.0,540.29,110.3445652173913,4.896389767231105,2.7577365014,0.03862194637625797
2011-04-01,2011,April,20340000.0,529.81,110.2576190476191,4.805200806768561,3.02166955416,-0.01879931860148337
2011-05-01,2011,May,25020000.0,515.74,109.8002272727273,4.697075887821064,2.95091788075,-0.02275866918795838
2011-06-01,2011,June,25680000.0,500.64,109.5822727272728,4.568622164334808,3.01791472078,-0.02772849989406998
2011-07-01,2011,July,29230000.0,487.78,109.5004761904762,4.454592500141334,3.10101146085,-0.02527607716523389
2011-08-01,2011,August,31240000.0,484.62,109.7306521739131,4.416450557788735,3.02196353381,-0.00859925425769377
2011-09-01,2011,September,26440000.0,495.82,110.0615909090909,4.504932155755765,2.88722099244,0.01983649892624553
2011-10-01,2011,October,28050000.0,496.1,110.0959523809524,4.506069381037753,2.90292978025,0.0002524081886752527
2011-11-01,2011,November,27040000.0,508.35,111.2756818181818,4.568383600925629,2.78715949027,0.01373420514226217
2011-12-01,2011,December,30230000.0,512.24,113.8213636363636,4.500385372613385,2.69510301823,-0.01499641304414407
2012-01-01,2012,January,21532067.0,492.17,114.8733428571429,4.284457888651029,2.65663881539,-0.04916900115555912
2012-02-01,2012,February,22067841.0,530.71,115.0872333333333,4.611371605944129,2.56716329218,0.07353131084763508
2012-03-01,2012,March,27380536.0,530.71,125.6,4.225398089171975,2.42423392884,-0.08741186250040425
2012-04-01,2012,April,25290000.0,535.65,128.63,4.164269610510767,2.79141738796,-0.01457258204177789
2012-05-01,2012,May,25590000.0,548.369,128.85,4.255871168024836,3.00160249213,0.02175858429237799
2012-06-01,2012,June,26970000.0,555.269,132.1388,4.202164693488967,2.9724366848,-0.0126996851839551
2012-07-01,2012,July,25545824.0,552.16,132.06,4.181129789489626,3.02936132279,-0.005018301143097895
2012-08-01,2012,August,20836848.0,556.57,132.22,4.209423687793072,3.11729100995,0.0067442524800055
2012-09-01,2012,September,26971523.0,562.849,133.6953666666667,4.209936469999833,3.10404710124,0.0001218102558350661
2012-10-01,2012,October,23840522.0,569.05,130.1637,4.371802583976946,3.00924948795,0.03772785735009852
2012-11-01,2012,November,26247282.0,570.07,132.3452,4.307447493373391,3.01698104943,-0.01482991490605077
2012-12-01,2012,December,29403610.0,554.11,128.09,4.325942696541494,3.08301240905,0.004284581388136508
2013-01-01,2013,January,21258611.0,563.33,128.6663,4.378224912039905,3.00336951773,0.01201328986871907
2013-02-01,2013,February,20926929.0,579.63,126.84,4.569772942289498,2.92514797946,0.04282014825124333
2013-03-01,2013,March,25874130.0,585.39,126.78,4.617368670137245,2.89627221072,0.01036147164774144
2013-04-01,2013,April,20825643.0,594.84,127.3803,4.669795878954595,2.88914084364,0.01129037080324423
2013-05-01,2013,May,25603861.0,587.78,126.9,4.631836091410559,2.95447469528,-0.008162008215267755
2013-06-01,2013,June,23814720.0,578.27,129.6314333333333,4.460877930069945,2.83520736062,-0.03760776153933342
2013-07-01,2013,July,28720244.0,577.0,133.1494,4.33347803294645,2.83184987414,-0.02897513151330897
2013-08-01,2013,August,30142969.0,579.26,133.634555,4.334657304766719,2.78223726302,0.0002720935429825777
2013-09-01,2013,September,27603704.0,625.82,134.162215,4.664651668131746,2.75336137804,0.07337060830333705
2013-10-01,2013,October,27688731.0,645.65,132.7278571428572,4.864464882493177,2.79777807215,0.04194355396657666
2013-11-01,2013,November,26132222.0,670.15,132.7295333333333,5.048989348263612,2.77881191747,0.03723137793483914
2013-12-01,2013,December,27726166.0,650.61,132.40881,4.913645851813033,2.89628989425,-0.02717189192830727
2014-01-01,2014,January,20810516.0,672.38,132.2009047619048,5.086046886070586,2.87440012549,0.03448468333695832
2014-02-01,2014,February,21470076.0,655.45,132.2673470588235,4.955493661700953,2.57569303055,-0.02600409379020369
2014-03-01,2014,March,29371026.0,637.73,132.0596952380952,4.829103980970223,2.49552354663,-0.02583585255164984
2014-04-01,2014,April,22482923.0,635.03,132.0494842105263,4.80903052213042,2.67085795318,-0.004165430116702552
2014-05-01,2014,May,26949119.0,632.49,131.8821315789474,4.795873348630086,2.86976530451,-0.002739680044072129
2014-06-01,2014,June,29294029.0,632.66,131.725835,4.80285435275472,2.8475067078,0.001454568891349318
2014-07-01,2014,July,28429770.0,625.94,131.6691909090909,4.75388354464919,2.96437290307,-0.01024852564898248
2014-08-01,2014,August,26314550.0,643.48,131.6120285714286,4.8892187665869,2.79228724949,0.02807065693893577
2014-09-01,2014,September,25558985.0,632.03,131.6784761904762,4.799797341865901,2.63503948919,-0.01845883271145846
2014-10-01,2014,October,25976573.0,624.06,132.069235,4.725248843911301,2.64901403857,-0.01565347164094625
2014-11-01,2014,November,27626338.0,602.99,132.5403263157894,4.549483291321626,2.64679409388,-0.03790656076971487
2014-12-01,2014,December,28459950.0,601.23,133.1752272727273,4.514578366506192,2.62448058638,-0.007701866707440994
2015-01-01,2015,January,23518657.73,594.3,133.9825105263158,4.43565356153908,2.61454547791,-0.01763682805952224
2015-02-01,2015,February,22519417.81,591.33,134.5426294117647,4.39511255715278,2.45444324111,-0.00918182831743589
2015-03-01,2015,March,24112613.01,582.25,134.6870190476191,4.322985274432003,2.40935001402,-0.0165469417339678
2015-04-01,2015,April,22036156.43,574.02,134.8585210526316,4.256460737664294,2.63454324852,-0.01550819713867889
2015-05-01,2015,May,26468222.22,579.32,136.1701421052631,4.254383457661154,2.88605338527,-0.0004881490006666992
2015-06-01,2015,June,26743912.38,569.22,135.8036523809523,4.19149257048876,2.99673680287,-0.01489296063384296
2015-07-01,2015,July,27624298.98,571.57,135.2683380952381,4.225452962965923,3.09647655031,0.008069572656270311
2015-08-01,2015,August,20370925.39,562.85,135.7470047619048,4.14631616356632,2.9590963931,-0.01890619663277131
2015-09-01,2015,September,23566812.94,580.74,141.2080619047619,4.112654703749716,2.78155370484,-0.008151535282200304
2015-10-01,2015,October,27857467.96,557.9,143.0689809523809,3.899517535430628,2.8623742092,-0.05321589669792868
2015-11-01,2015,November,25307906.03,563.27,144.1955,3.906293885731525,2.82155185268,0.001736232567649078
